City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,henties bay,-22.116,14.2845,18.12,87,100,4.73,NA,1674531309
260,lucea,18.451,-78.1736,25.92,80,13,4.58,JM,1674531309
261,caravelas,-17.7125,-39.2481,25.64,85,100,4.7,BR,1674531310
262,jiaohe,43.7286,127.3447,-22.89,70,83,3.67,CN,1674531310
263,ati,13.2154,18.3353,21.35,14,100,4.49,TD,1674531310
264,caranavi,-15.8167,-67.55,18.53,97,100,1.04,BO,1674531310
265,vallenar,-28.5708,-70.7581,20.26,66,0,0.83,CL,1674531311
266,comodoro rivadavia,-45.8667,-67.5,22.92,40,0,6.17,AR,1674531311
267,tazovskiy,67.4667,78.7,-33.77,99,80,3.23,RU,1674531311
268,artyom,40.4723,50.333,0.08,57,3,4.34,AZ,1674531312
269,lagoa,39.05,-27.9833,15.0,77,79,10.51,PT,1674531312
270,nantucket,41.2835,-70.0995,2.08,85,100,7.2,US,1674531312
271,shubarkuduk,49.1447,56.4872,-16.0,91,80,2.26,KZ,1674531313
272,plettenberg bay,-34.0527,23.3716,19.95,81,100,4.67,ZA,1674531313
273,padang,-0.9492,100.3543,26.03,88,100,2.07,ID,1674530557
274,sulangan,11.1373,123.7228,26.53,81,67,8.16,PH,1674531314
275,kaitangata,-46.2817,169.8464,14.69,58,45,3.61,NZ,1674531314
276,grinnell,41.743,-92.7224,-0.01,93,100,1.54,US,1674531314
277,xique-xique,-10.8218,-42.7263,25.06,73,100,1.12,BR,1674531315
278,puerto escondido,15.85,-97.0667,25.46,73,0,0.0,MX,1674531315
279,faya,18.3851,42.4509,9.06,83,1,0.66,SA,1674531316
280,sao filipe,14.8961,-24.4956,21.1,65,2,3.44,CV,1674531316
281,bolshaya rechka,51.9503,104.7355,-23.75,82,100,2.24,RU,1674531316
282,sakaraha,-22.9,44.5333,23.21,77,100,4.72,MG,1674531316
283,batagay-alyta,67.8006,130.4114,-33.6,98,100,0.54,RU,1674531317
284,krasnyy luch,48.1395,38.9371,-3.48,71,3,5.41,UA,1674531317
285,turkistan,43.0,68.0,-8.78,91,83,2.4,KZ,1674531317
286,maceio,-9.6658,-35.7353,24.69,94,20,1.54,BR,1674531318
287,pelym,61.0108,61.9978,-13.51,95,52,1.65,RU,1674531318
288,daud khel,32.875,71.5701,11.66,37,1,1.68,PK,1674531318
289,havre-saint-pierre,50.2334,-63.5986,-7.0,73,0,5.14,CA,1674531318
290,japura,-0.3167,102.35,26.4,79,100,2.46,ID,1674531038
291,lavrentiya,65.5833,-171.0,-26.45,95,27,5.52,RU,1674531319
292,kurilsk,45.2333,147.8833,-0.3,72,100,9.7,RU,1674531319
293,mikulovice,50.2985,17.3215,2.24,99,100,1.31,CZ,1674531319
294,yongan,39.6957,113.6871,-19.71,41,0,3.72,CN,1674531319
295,ratnapura,6.6828,80.3992,26.74,78,97,0.88,LK,1674531320
296,taoudenni,22.6783,-3.9836,15.81,24,1,3.25,ML,1674531320
297,pevek,69.7008,170.3133,-27.97,82,73,0.81,RU,1674531320
298,santa cecilia,-26.9608,-50.4269,14.99,96,57,1.08,BR,1674531321
299,tileagd,47.0667,22.2,4.75,84,100,0.99,RO,1674531321
300,san patricio,28.017,-97.5169,18.92,70,98,7.54,US,1674531321
301,bhuban,20.8833,85.8333,26.22,39,28,1.67,IN,1674531321
302,bandarbeyla,9.4942,50.8122,24.65,62,75,8.33,SO,1674531322
303,the valley,18.217,-63.0578,25.92,72,51,8.72,AI,1674531322
304,qaanaaq,77.484,-69.3632,-23.57,69,92,3.06,GL,1674531323
305,waddan,29.1614,16.139,9.88,32,0,2.29,LY,1674531323
306,calamar,10.2511,-74.9146,25.46,79,72,1.94,CO,1674531323
307,ucluelet,48.9329,-125.5528,6.72,90,72,1.36,CA,1674531324
308,hokitika,-42.7167,170.9667,18.68,57,35,2.96,NZ,1674531324
309,ayan,56.45,138.1667,-28.21,69,98,3.79,RU,1674531325
310,buraydah,26.326,43.975,13.25,68,16,4.31,SA,1674531325
311,severo-kurilsk,50.6789,156.125,-7.05,63,87,6.96,RU,1674531325
312,champerico,14.3,-91.9167,25.33,75,3,1.86,GT,1674531325
313,dingle,10.9995,122.6711,27.71,76,94,7.49,PH,1674531327
314,namatanai,-3.6667,152.4333,29.47,67,81,3.18,PG,1674531327
315,nalut,30.3333,10.85,5.39,48,4,3.58,LY,1674531328
316,buala,-8.145,159.5921,25.09,92,100,1.06,SB,1674531328
317,ust-nera,64.5667,143.2,-34.95,100,94,1.05,RU,1674531328
318,tasiilaq,65.6145,-37.6368,-6.91,64,100,2.25,GL,1674531329
319,santiago,-33.4569,-70.6483,22.7,44,0,5.14,CL,1674530768
320,la ronge,55.1001,-105.2842,-12.86,78,100,3.6,CA,1674531330
321,talnakh,69.4865,88.3972,-31.25,94,31,3.62,RU,1674531330
322,acajutla,13.5928,-89.8275,24.8,68,7,3.47,SV,1674531331
323,fairbanks,64.8378,-147.7164,-21.02,76,100,0.0,US,1674531331
324,kruisfontein,-34.0033,24.7314,19.5,84,98,6.94,ZA,1674531331
325,sao jose da coroa grande,-8.8978,-35.1478,25.52,78,28,3.33,BR,1674531332
326,teknaf,20.8624,92.3058,25.86,39,20,2.38,BD,1674531332
327,volga,57.9516,38.3879,-9.14,97,88,2.98,RU,1674531332
328,itarema,-2.9248,-39.9167,24.77,85,22,1.79,BR,1674531333
329,anadyr,64.75,177.4833,-19.72,59,0,2.0,RU,1674531333
330,saint-francois,46.4154,3.9054,1.69,87,100,2.57,FR,1674531334
331,quelimane,-17.8786,36.8883,24.97,94,75,4.12,MZ,1674531334
332,lata,40.1629,-8.3327,4.49,72,0,2.18,PT,1674531335
333,chernyshevskiy,63.0128,112.4714,-32.56,93,100,1.29,RU,1674531335
334,bauchi,10.5,10.0,17.45,24,12,1.61,NG,1674531335
335,valente,-11.4122,-39.4619,21.88,81,55,2.48,BR,1674531335
336,cieza,38.24,-1.4199,3.56,77,46,1.93,ES,1674531336
337,nuevo progreso,23.1667,-97.95,19.94,76,100,1.21,MX,1674531336
338,madang,-5.2246,145.7966,30.12,63,100,2.22,PG,1674531336
339,chalons-en-champagne,48.9539,4.3672,1.8,90,29,4.32,FR,1674531336
340,mezen,65.8522,44.24,-10.3,88,47,4.41,RU,1674531337
341,sakaiminato,35.55,133.2333,1.99,64,75,12.86,JP,1674531068
342,jinka,5.65,36.65,18.39,46,33,0.99,ET,1674531337
343,pauini,-7.7136,-66.9764,22.34,99,100,1.03,BR,1674531338
344,assiniboia,49.6334,-105.9845,-3.1,80,100,7.2,CA,1674531338
345,baruun-urt,46.6806,113.2792,-26.27,68,4,6.18,MN,1674531338
346,yarmouth,41.7057,-70.2286,2.2,92,100,12.07,US,1674531339
347,asfi,32.2994,-9.2372,10.3,70,0,6.71,MA,1674531339
348,ewa beach,21.3156,-158.0072,26.97,63,0,4.63,US,1674531339
